year,lake,event
2004,Peter,
2005,Peter,
2006,Peter,
2007,Peter,
2008,Peter,b
2009,Peter,b
2010,Peter,b
2011,Peter,b
2012,Peter,
2013,Peter,e
2014,Peter,e
2015,Peter,e
2016,Peter,
2017,Peter,
2018,Peter,a
2019,Peter,e
2020,Peter,
2021,Peter,
2022,Peter,a
2023,Peter,
2024,Peter,f
2025,Peter,g
2004,Paul,
2005,Paul,
2006,Paul,
2007,Paul,
2008,Paul,a
2009,Paul,a
2010,Paul,a
2011,Paul,a
2012,Paul,
2013,Paul,a
2014,Paul,a
2015,Paul,a
2016,Paul,
2017,Paul,
2018,Paul,a
2019,Paul,a
2020,Paul,
2021,Paul,
2022,Paul,a
2023,Paul,
2024,Paul,a
2025,Paul,a
2004,Tuesday,
2005,Tuesday,
2006,Tuesday,
2007,Tuesday,
2008,Tuesday,
2009,Tuesday,
2010,Tuesday,
2011,Tuesday,
2012,Tuesday,
2013,Tuesday,e
2014,Tuesday,e
2015,Tuesday,e
2016,Tuesday,
2017,Tuesday,
2018,Tuesday,
2019,Tuesday,
2020,Tuesday,
2021,Tuesday,
2022,Tuesday,
2023,Tuesday,
2024,Tuesday,e
2025,Tuesday,e
2004,LittleRock,
2005,LittleRock,
2006,LittleRock,
2007,LittleRock,
2008,LittleRock,
2009,LittleRock,
2010,LittleRock,
2011,LittleRock,
2012,LittleRock,
2013,LittleRock,
2014,LittleRock,
2015,LittleRock,
2016,LittleRock,
2017,LittleRock,
2018,LittleRock,a
2019,LittleRock,a
2020,LittleRock,a
2021,LittleRock,a
2022,LittleRock,a
2023,LittleRock,a
2024,LittleRock,a
2025,LittleRock,a
2004,Crampton,
2005,Crampton,
2006,Crampton,
2007,Crampton,
2008,Crampton,
2009,Crampton,
2010,Crampton,
2011,Crampton,
2012,Crampton,
2013,Crampton,
2014,Crampton,
2015,Crampton,
2016,Crampton,
2017,Crampton,
2018,Crampton,a
2019,Crampton,a
2020,Crampton,a
2021,Crampton,a
2022,Crampton,a
2023,Crampton,a
2024,Crampton,a
2025,Crampton,a
2004,Sparkling,c
2005,Sparkling,c
2006,Sparkling,c
2007,Sparkling,c
2008,Sparkling,c
2009,Sparkling,c
2010,Sparkling,a
2011,Sparkling,a
2012,Sparkling,a
2013,Sparkling,a
2014,Sparkling,a
2015,Sparkling,a
2016,Sparkling,a
2017,Sparkling,a
2018,Sparkling,a
2019,Sparkling,a
2020,Sparkling,b
2021,Sparkling,b
2022,Sparkling,b
2023,Sparkling,b
2024,Sparkling,b
2025,Sparkling,b
2004,Trout,a
2005,Trout,a
2006,Trout,a
2007,Trout,b
2008,Trout,b
2009,Trout,b
2010,Trout,b
2011,Trout,b
2012,Trout,b
2013,Trout,b
2014,Trout,b
2015,Trout,d
2016,Trout,d
2017,Trout,d
2018,Trout,d
2019,Trout,d
2020,Trout,d
2021,Trout,d
2022,Trout,d
2023,Trout,d
2024,Trout,d
2025,Trout,d
2004,Crystal,
2005,Crystal,
2006,Crystal,
2007,Crystal,
2008,Crystal,
2009,Crystal,
2010,Crystal,a
2011,Crystal,h
2012,Crystal,h
2013,Crystal,a
2014,Crystal,
2015,Crystal,
2016,Crystal,
2017,Crystal,
2018,Crystal,
2019,Crystal,
2020,Crystal,
2021,Crystal,
2022,Crystal,
2023,Crystal,
2024,Crystal,
2025,Crystal,
2004,TroutBog,a
2005,TroutBog,a
2006,TroutBog,a
2007,TroutBog,a
2008,TroutBog,a
2009,TroutBog,a
2010,TroutBog,a
2011,TroutBog,a
2012,TroutBog,a
2013,TroutBog,a
2014,TroutBog,a
2015,TroutBog,a
2016,TroutBog,a
2017,TroutBog,a
2018,TroutBog,a
2019,TroutBog,a
2020,TroutBog,a
2021,TroutBog,a
2022,TroutBog,a
2023,TroutBog,a
2024,TroutBog,a
2025,TroutBog,a
2004,CrystalBog,
2005,CrystalBog,a
2006,CrystalBog,a
2007,CrystalBog,a
2008,CrystalBog,a
2009,CrystalBog,a
2010,CrystalBog,a
2011,CrystalBog,a
2012,CrystalBog,a
2013,CrystalBog,a
2014,CrystalBog,a
2015,CrystalBog,a
2016,CrystalBog,a
2017,CrystalBog,a
2018,CrystalBog,a
2019,CrystalBog,a
2020,CrystalBog,a
2021,CrystalBog,a
2022,CrystalBog,a
2023,CrystalBog,a
2024,CrystalBog,a
2025,CrystalBog,a
